Date,y
4/4/2019,171517
5/4/2019,294521
6/4/2019,275677
7/4/2019,172404
18/4/2019,175841
19/4/2019,156780
20/4/2019,214645
21/4/2019,201113
22/4/2019,138505
30/4/2019,204909
1/5/2019,334793
2/5/2019,345509
3/5/2019,299543
4/5/2019,202806
5/5/2019,154930
11/5/2019,281873
12/5/2019,199390
13/5/2019,147850
7/6/2019,253461
8/6/2019,253614
9/6/2019,164937
29/6/2019,228323
30/6/2019,185297
1/7/2019,125900
12/9/2019,100055
13/9/2019,108449
14/9/2019,102352
15/9/2019,103609
28/9/2019,131426
29/9/2019,97529
30/9/2019,125769
1/10/2019,111061
2/10/2019,154869
3/10/2019,151741
4/10/2019,148931
5/10/2019,80853
6/10/2019,83668
7/10/2019,83796
21/12/2019,136291
22/12/2019,95279
23/12/2019,114482
24/12/2019,102861
25/12/2019,85539
26/12/2019,86548
27/12/2019,113420
28/12/2019,136947
29/12/2019,103888
30/12/2019,111529
31/12/2019,99098
1/1/2020,94903
24/1/2020,59577
25/1/2020,49068
26/1/2020,53397
27/1/2020,41596
28/1/2020,34404
29/1/2020,38778
30/1/2020,28417
31/1/2020,24315
1/2/2020,23142
2/2/2020,18114
3/2/2020,19971
4/2/2020,14996
5/2/2020,14218
6/2/2020,16895
7/2/2020,19083
8/2/2020,4576
9/2/2020,4076
10/2/2020,3369
11/2/2020,3307
12/2/2020,2905
13/2/2020,3209
14/2/2020,3257
15/2/2020,3420
16/2/2020,3068
17/2/2020,3011
18/2/2020,3030
19/2/2020,2857
20/2/2020,2972
21/2/2020,3378
22/2/2020,3331
23/2/2020,3324
24/2/2020,2998
25/2/2020,2625
26/2/2020,2744
27/2/2020,3106
28/2/2020,3200
29/2/2020,3881
1/3/2020,4583
2/3/2020,3655
3/3/2020,3600
4/3/2020,3580
5/3/2020,3450
6/3/2020,3757
7/3/2020,3984
8/3/2020,3653
9/3/2020,3393
10/3/2020,3199
11/3/2020,3381
12/3/2020,3382
