date,Composite Consumer Price Index,Consumer Price Index (A),Consumer Price Index (B),Consumer Price Index (C)
4/4/2019,99.1,99.5,98.8,99
5/4/2019,99.1,99.5,98.8,99
6/4/2019,99.1,99.5,98.8,99
7/4/2019,99.1,99.5,98.8,99
8/4/2019,99.1,99.5,98.8,99
9/4/2019,99.1,99.5,98.8,99
10/4/2019,99.1,99.5,98.8,99
11/4/2019,99.1,99.5,98.8,99
12/4/2019,99.1,99.5,98.8,99
13/4/2019,99.1,99.5,98.8,99
14/4/2019,99.1,99.5,98.8,99
15/4/2019,99.1,99.5,98.8,99
16/4/2019,99.1,99.5,98.8,99
17/4/2019,99.1,99.5,98.8,99
18/4/2019,99.1,99.5,98.8,99
19/4/2019,99.1,99.5,98.8,99
20/4/2019,99.1,99.5,98.8,99
21/4/2019,99.1,99.5,98.8,99
22/4/2019,99.1,99.5,98.8,99
23/4/2019,99.1,99.5,98.8,99
24/4/2019,99.1,99.5,98.8,99
25/4/2019,99.1,99.5,98.8,99
26/4/2019,99.1,99.5,98.8,99
27/4/2019,99.1,99.5,98.8,99
28/4/2019,99.1,99.5,98.8,99
29/4/2019,99.1,99.5,98.8,99
30/4/2019,99.1,99.5,98.8,99
1/5/2019,99,99.6,98.7,98.7
2/5/2019,99,99.6,98.7,98.7
3/5/2019,99,99.6,98.7,98.7
4/5/2019,99,99.6,98.7,98.7
5/5/2019,99,99.6,98.7,98.7
6/5/2019,99,99.6,98.7,98.7
7/5/2019,99,99.6,98.7,98.7
8/5/2019,99,99.6,98.7,98.7
9/5/2019,99,99.6,98.7,98.7
10/5/2019,99,99.6,98.7,98.7
11/5/2019,99,99.6,98.7,98.7
12/5/2019,99,99.6,98.7,98.7
13/5/2019,99,99.6,98.7,98.7
14/5/2019,99,99.6,98.7,98.7
15/5/2019,99,99.6,98.7,98.7
16/5/2019,99,99.6,98.7,98.7
17/5/2019,99,99.6,98.7,98.7
18/5/2019,99,99.6,98.7,98.7
19/5/2019,99,99.6,98.7,98.7
20/5/2019,99,99.6,98.7,98.7
21/5/2019,99,99.6,98.7,98.7
22/5/2019,99,99.6,98.7,98.7
23/5/2019,99,99.6,98.7,98.7
24/5/2019,99,99.6,98.7,98.7
25/5/2019,99,99.6,98.7,98.7
26/5/2019,99,99.6,98.7,98.7
27/5/2019,99,99.6,98.7,98.7
28/5/2019,99,99.6,98.7,98.7
29/5/2019,99,99.6,98.7,98.7
30/5/2019,99,99.6,98.7,98.7
31/5/2019,99,99.6,98.7,98.7
1/6/2019,99.7,100.7,99.3,99.1
2/6/2019,99.7,100.7,99.3,99.1
3/6/2019,99.7,100.7,99.3,99.1
4/6/2019,99.7,100.7,99.3,99.1
5/6/2019,99.7,100.7,99.3,99.1
6/6/2019,99.7,100.7,99.3,99.1
7/6/2019,99.7,100.7,99.3,99.1
8/6/2019,99.7,100.7,99.3,99.1
9/6/2019,99.7,100.7,99.3,99.1
10/6/2019,99.7,100.7,99.3,99.1
11/6/2019,99.7,100.7,99.3,99.1
12/6/2019,99.7,100.7,99.3,99.1
13/6/2019,99.7,100.7,99.3,99.1
14/6/2019,99.7,100.7,99.3,99.1
15/6/2019,99.7,100.7,99.3,99.1
16/6/2019,99.7,100.7,99.3,99.1
17/6/2019,99.7,100.7,99.3,99.1
18/6/2019,99.7,100.7,99.3,99.1
19/6/2019,99.7,100.7,99.3,99.1
