Date,average oil price
04/04/2019,62.315
04/05/2019,62.605
04/06/2019,63.0
04/07/2019,63.0
04/08/2019,63.835
04/09/2019,64.2125
04/10/2019,64.395
04/11/2019,63.965
04/12/2019,63.9775
04/13/2019,63.0
04/14/2019,63.0
04/15/2019,63.5075
04/16/2019,63.745000000000005
04/17/2019,64.0875
04/18/2019,63.8425
04/19/2019,63.0
04/20/2019,63.0
04/21/2019,63.0
04/22/2019,64.905
04/23/2019,66.15999999999998
04/24/2019,66.0375
04/25/2019,65.55
04/26/2019,63.972500000000004
04/27/2019,63.0
04/28/2019,63.0
04/29/2019,63.15
04/30/2019,63.885000000000005
05/01/2019,63.425000000000004
05/02/2019,62.5125
05/03/2019,61.8275
05/04/2019,59.73
05/05/2019,59.73
05/06/2019,61.6675
05/07/2019,61.68
05/08/2019,61.75
05/09/2019,61.712500000000006
05/10/2019,61.802499999999995
05/11/2019,59.73
05/12/2019,59.73
05/13/2019,61.66499999999999
05/14/2019,61.36
05/15/2019,61.645
05/16/2019,62.6375
05/17/2019,63.01
05/18/2019,59.73
05/19/2019,59.73
05/20/2019,63.072500000000005
05/21/2019,63.14
05/22/2019,61.225
05/23/2019,59.489999999999995
05/24/2019,58.36
05/25/2019,59.73
05/26/2019,59.73
05/27/2019,59.73
05/28/2019,58.945
05/29/2019,58.474999999999994
05/30/2019,57.935
05/31/2019,54.905
06/01/2019,54.34
06/02/2019,54.34
06/03/2019,53.352500000000006
06/04/2019,53.145
06/05/2019,52.137499999999996
06/06/2019,52.18000000000001
06/07/2019,53.5075
06/08/2019,54.34
06/09/2019,54.34
06/10/2019,53.8475
06/11/2019,53.4125
06/12/2019,51.987500000000004
06/13/2019,51.93000000000001
06/14/2019,52.3425
06/15/2019,54.34
06/16/2019,54.34
06/17/2019,52.1875
06/18/2019,52.915
06/19/2019,53.887499999999996
06/20/2019,55.474999999999994
06/21/2019,57.35666666666666
06/22/2019,54.34
06/23/2019,54.34
06/24/2019,57.6475
06/25/2019,57.9025
06/26/2019,59.2
06/27/2019,59.260000000000005
06/28/2019,58.81
06/29/2019,54.34
06/30/2019,54.34
07/01/2019,59.245000000000005
07/02/2019,57.7275
07/03/2019,56.8375
07/04/2019,56.47
07/05/2019,57.25
07/06/2019,56.47
07/07/2019,56.47
07/08/2019,57.7975
07/09/2019,57.945
07/10/2019,59.4275
07/11/2019,60.42999999999999
07/12/2019,60.335
07/13/2019,56.47
07/14/2019,56.47
07/15/2019,59.9875
07/16/2019,58.5025
07/17/2019,57.21750000000001
07/18/2019,55.985
07/19/2019,55.675
07/20/2019,56.47
07/21/2019,56.47
07/22/2019,56.25
07/23/2019,56.660000000000004
07/24/2019,56.519999999999996
07/25/2019,56.18
07/26/2019,56.095
07/27/2019,56.47
07/28/2019,56.47
07/29/2019,56.495
07/30/2019,57.6375
07/31/2019,58.3875
08/01/2019,55.845000000000006
08/02/2019,55.1
08/03/2019,53.63
08/04/2019,53.63
08/05/2019,54.975
08/06/2019,54.3225
08/07/2019,52.2
08/08/2019,52.4675
08/09/2019,53.667500000000004
08/10/2019,53.63
08/11/2019,53.63
08/12/2019,54.4875
08/13/2019,55.877500000000005
08/14/2019,55.6975
08/15/2019,54.6175
08/16/2019,54.885
08/17/2019,53.63
08/18/2019,53.63
08/19/2019,55.605
08/20/2019,56.08
08/21/2019,56.120000000000005
08/22/2019,55.65
08/23/2019,54.59
08/24/2019,53.63
08/25/2019,53.63
08/26/2019,53.7775
08/27/2019,54.525
08/28/2019,55.895
08/29/2019,56.227500000000006
08/30/2019,55.75
08/31/2019,53.63
09/01/2019,55.14
09/02/2019,55.14
09/03/2019,54.255
09/04/2019,55.15
09/05/2019,56.44
09/06/2019,56.1225
