filtered-0-typhoon_duration_hours,filtered-0-temperature,filtered-0-rainfall,filtered-0-humidity,filtered-0-crime_overall,filtered-0-oil_price,filtered-0-cpi_composite,filtered-0-cpi_a,filtered-0-cpi_b,filtered-0-cpi_c,filtered-0-gdp,filtered-0-gdp_deflator_index,filtered-0-exchange_mainland,filtered-0-exchange_taiwan,filtered-0-exchange_macausar,filtered-0-exchange_southkorea,filtered-0-exchange_usa,unfiltered-month=1,unfiltered-month=2,unfiltered-month=3,unfiltered-month=4,unfiltered-month=5,unfiltered-month=6,unfiltered-month=7,unfiltered-month=8,unfiltered-month=9,unfiltered-month=10,unfiltered-month=11,unfiltered-month=12,unfiltered-quarter=1,unfiltered-quarter=2,unfiltered-quarter=3,unfiltered-quarter=4,unfiltered-day_of_week=Thursday,unfiltered-day_of_week=Friday,unfiltered-day_of_week=Saturday,unfiltered-day_of_week=Sunday,unfiltered-day_of_week=Monday,unfiltered-day_of_week=Tuesday,unfiltered-day_of_week=Wednesday,unfiltered-Holiday_China=Z,unfiltered-Holiday_China=C,unfiltered-Holiday_China=D,unfiltered-Holiday_China=E,unfiltered-Holiday_China=F,unfiltered-Holiday_China=G,unfiltered-Holiday_China=A,unfiltered-Holiday_China=O,unfiltered-Holiday_China=B,unfiltered-Holiday_Taiwan=C,unfiltered-Holiday_Taiwan=Z,unfiltered-Holiday_Taiwan=E,unfiltered-Holiday_Taiwan=F,unfiltered-Holiday_Taiwan=G,unfiltered-Holiday_Taiwan=A,unfiltered-Holiday_Taiwan=B,unfiltered-Holiday_Taiwan=H,unfiltered-Holiday_Macau=Z,unfiltered-Holiday_Macau=C,unfiltered-Holiday_Macau=O,unfiltered-Holiday_Macau=D,unfiltered-Holiday_Macau=E,unfiltered-Holiday_Macau=F,unfiltered-Holiday_Macau=G,unfiltered-Holiday_Macau=H,unfiltered-Holiday_Macau=I,unfiltered-Holiday_Macau=J,unfiltered-Holiday_Macau=K,unfiltered-Holiday_Macau=L,unfiltered-Holiday_Macau=M,unfiltered-Holiday_Macau=N,unfiltered-Holiday_Macau=A,unfiltered-Holiday_Macau=B,unfiltered-Holiday_SouthKorea=Z,unfiltered-Holiday_SouthKorea=P,unfiltered-Holiday_SouthKorea=O,unfiltered-Holiday_SouthKorea=M,unfiltered-Holiday_SouthKorea=L,unfiltered-Holiday_SouthKorea=F,unfiltered-Holiday_SouthKorea=R,unfiltered-Holiday_SouthKorea=S,unfiltered-Holiday_SouthKorea=T,unfiltered-Holiday_SouthKorea=A,unfiltered-Holiday_SouthKorea=B,unfiltered-Holiday_SouthKorea=N,unfiltered-Holiday_US=Z,unfiltered-Holiday_US=D,unfiltered-Holiday_US=E,unfiltered-Holiday_US=F,unfiltered-Holiday_US=G,unfiltered-Holiday_US=H,unfiltered-Holiday_US=I,unfiltered-Holiday_US=J,unfiltered-Holiday_US=K,unfiltered-Holiday_US=A,unfiltered-Holiday_US=B,unfiltered-Holiday_US=C,unfiltered-event_protest=1,unfiltered-days_to_event_marathon=0,unfiltered-days_to_event_marathon=1,unfiltered-days_to_event_marathon=2,unfiltered-days_to_event_marathon=3,unfiltered-days_to_event_creamfields=0,unfiltered-days_to_event_creamfields=1,unfiltered-days_to_event_creamfields=2,unfiltered-days_to_event_creamfields=3,unfiltered-days_to_event_complexcon=0,unfiltered-days_to_event_complexcon=1,unfiltered-days_to_event_complexcon=2,unfiltered-days_to_event_complexcon=3,unfiltered-days_to_event_hksevens=0,unfiltered-days_to_event_hksevens=1,unfiltered-days_to_event_hksevens=2,unfiltered-days_to_event_hksevens=3,unfiltered-days_to_event_clockenflap=0,unfiltered-days_to_event_clockenflap=1,unfiltered-days_to_event_clockenflap=2,unfiltered-days_to_event_clockenflap=3,unfiltered-max_signal=0,unfiltered-max_signal=1,unfiltered-max_signal=3,unfiltered-max_signal=8,unfiltered-max_signal=9,unfiltered-max_signal=10,unfiltered-event_marathon_binarized,unfiltered-event_creamfields_binarized,unfiltered-event_complexcon_binarized,unfiltered-event_hksevens_binarized,unfiltered-event_clockenflap_binarized,unfiltered-typhoon_morning_binarized,unfiltered-typhoon_present_binarized,unfiltered-typhoon_high_signal_binarized,y
-0.190454,-0.56698,-0.260384,0.612396,-3.742013,-1.656283,-3.48079,-3.445489,-3.470956,-3.500769,-2.082422,-2.789349,3.494684,1.434838,-0.153546,3.4102,1.57005,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,171517
-0.190454,-0.099473,-0.262314,-0.011314,-3.742013,-1.61599,-3.48079,-3.445489,-3.470956,-3.500769,-2.082422,-2.789349,3.499195,1.465525,-0.10226,3.4102,1.630199,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,294521
-0.190454,0.124118,-0.262314,0.25599,-3.742013,-1.561108,-3.48079,-3.445489,-3.470956,-3.500769,-2.082422,-2.789349,3.499195,1.465525,-0.10226,3.4102,1.630199,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,275677
-0.190454,0.246076,-0.262314,0.345091,-3.742013,-1.561108,-3.48079,-3.445489,-3.470956,-3.500769,-2.082422,-2.789349,3.490173,1.450182,-0.153546,3.4102,1.60213,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,172404
-0.190454,-0.099473,0.001536,1.236106,-3.742013,-1.444051,-3.48079,-3.445489,-3.470956,-3.500769,-2.082422,-2.789349,3.535283,1.388809,-0.204833,3.4102,1.453762,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,175841
-0.190454,-0.160452,2.722738,1.50341,-3.742013,-1.561108,-3.48079,-3.445489,-3.470956,-3.500769,-2.082422,-2.789349,3.562349,1.404152,-0.307406,3.4102,1.397622,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,156780
-0.190454,-0.241758,1.454681,1.681613,-3.742013,-1.561108,-3.48079,-3.445489,-3.470956,-3.500769,-2.082422,-2.789349,3.562349,1.404152,-0.307406,3.4102,1.397622,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,214645
-0.190454,0.347708,-0.2505,1.057903,-3.742013,-1.561108,-3.48079,-3.445489,-3.470956,-3.500769,-2.082422,-2.789349,3.557838,1.404152,-1.076703,3.4102,1.361533,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,201113
-0.190454,0.611951,-0.262314,0.701497,-3.742013,-1.296426,-3.48079,-3.445489,-3.470956,-3.500769,-2.082422,-2.789349,3.526261,1.358123,-0.666411,3.4102,1.417672,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,138505
-0.190454,0.44934,0.033041,0.523294,-3.742013,-1.438146,-3.48079,-3.445489,-3.470956,-3.500769,-2.082422,-2.789349,3.327777,1.312093,-0.204833,2.780589,1.409652,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,204909
