日期,假期,管制站,入境 / 出境,香港居民,內地訪客,其他訪客,總計
4/4/2019,四,機場,入境,29331,15048,32239,76618
4/4/2019,四,機場,出境,48963,11905,21276,82144
4/4/2019,四,高鐵西九龍,入境,7063,17165,1557,25785
4/4/2019,四,高鐵西九龍,出境,20618,9134,873,30625
4/4/2019,四,紅磡,入境,1871,1123,402,3396
4/4/2019,四,紅磡,出境,4581,920,318,5819
4/4/2019,四,羅湖,入境,75438,22606,1957,100001
4/4/2019,四,羅湖,出境,158537,24415,1933,184885
4/4/2019,四,落馬洲支線,入境,45863,21225,894,67982
4/4/2019,四,落馬洲支線,出境,64735,19131,655,84521
4/4/2019,四,港珠澳大橋,入境,10268,7215,3396,20879
4/4/2019,四,港珠澳大橋,出境,23082,9213,3886,36181
4/4/2019,四,落馬洲,入境,24220,9707,1557,35484
4/4/2019,四,落馬洲,出境,32913,6883,873,40669
4/4/2019,四,文錦渡,入境,3538,1601,42,5181
4/4/2019,四,文錦渡,出境,4715,1341,57,6113
4/4/2019,四,沙頭角,入境,3035,873,214,4122
4/4/2019,四,沙頭角,出境,5414,784,116,6314
4/4/2019,四,深圳灣,入境,28058,18747,2348,49153
4/4/2019,四,深圳灣,出境,58317,18170,1523,78010
4/4/2019,四,中國客運碼頭,入境,2617,1448,1621,5686
4/4/2019,四,中國客運碼頭,出境,6263,1742,1534,9539
4/4/2019,四,港口管制,入境,1,0,156,157
4/4/2019,四,港口管制,出境,2,0,7,9
4/4/2019,四,啟德郵輪碼頭,入境,622,173,28,823
4/4/2019,四,啟德郵輪碼頭,出境,578,135,60,773
4/4/2019,四,港澳客輪碼頭,入境,9137,3465,4667,17269
4/4/2019,四,港澳客輪碼頭,出境,12921,1413,3968,18302
4/4/2019,四,屯門客運碼頭,入境,579,11,32,622
4/4/2019,四,屯門客運碼頭,出境,882,19,19,920
5/4/2019,四,機場,入境,26473,15022,28019,69514
5/4/2019,四,機場,出境,36156,10175,21923,68254
5/4/2019,四,高鐵西九龍,入境,8611,39301,2005,49917
5/4/2019,四,高鐵西九龍,出境,19026,20803,1028,40857
5/4/2019,四,紅磡,入境,2820,2406,513,5739
5/4/2019,四,紅磡,出境,5245,1205,341,6791
5/4/2019,四,羅湖,入境,116763,48377,2332,167472
5/4/2019,四,羅湖,出境,126522,49229,2165,177916
5/4/2019,四,落馬洲支線,入境,57172,54625,1047,112844
5/4/2019,四,落馬洲支線,出境,64797,45106,793,110696
5/4/2019,四,港珠澳大橋,入境,21630,13976,5692,41298
5/4/2019,四,港珠澳大橋,出境,30200,17421,5440,53061
5/4/2019,四,落馬洲,入境,31161,12980,1262,45403
5/4/2019,四,落馬洲,出境,31262,12183,832,44277
5/4/2019,四,文錦渡,入境,2251,4203,91,6545
5/4/2019,四,文錦渡,出境,2772,2678,61,5511
5/4/2019,四,沙頭角,入境,4227,2097,165,6489
5/4/2019,四,沙頭角,出境,5077,1289,78,6444
5/4/2019,四,深圳灣,入境,40928,40828,2188,83944
5/4/2019,四,深圳灣,出境,49773,34222,1506,85501
5/4/2019,四,中國客運碼頭,入境,3607,3088,1632,8327
5/4/2019,四,中國客運碼頭,出境,7095,2258,1601,10954
5/4/2019,四,港口管制,入境,23,0,140,163
5/4/2019,四,港口管制,出境,1,4,6,11
5/4/2019,四,啟德郵輪碼頭,入境,1071,3598,870,5539
5/4/2019,四,啟德郵輪碼頭,出境,3543,3971,344,7858
5/4/2019,四,港澳客輪碼頭,入境,13230,2094,5888,21212
5/4/2019,四,港澳客輪碼頭,出境,14860,2114,3883,20857
