Open,Close,High,Low,Date
62.26,62.79,63.3,62.08,04/24/25
63.8,62.27,64.87,61.62,04/23/25
0,63.67,64.37,0,04/22/25
64.38,63.08,64.9,62.44,04/21/25
62.65,64.68,64.85,62.53,04/17/25
61.62,62.47,62.97,60.45,04/16/25
61.56,61.33,62.06,60.88,04/15/25
61.7,61.53,62.67,60.59,04/14/25
60.12,61.5,61.87,59.44,4/11/2025
61.76,60.07,0,58.76,4/10/2025
58.22,62.35,62.93,55.12,4/9/2025
60.98,59.58,61.76,57.86,4/8/2025
61.28,60.7,63.86,58.95,4/7/2025
66.63,61.99,66.91,60.46,4/4/2025
70.39,66.95,70.48,65.98,4/3/2025
71.12,71.71,72.3,70.61,4/2/2025
71.4,71.2,72.1,71.03,4/1/2025
69.42,71.48,71.84,68.82,03/31/25
69.9,69.36,70.09,68.85,03/28/25
69.93,69.92,69.99,69.12,03/27/25
69.19,69.65,70.21,69.04,03/26/25
69.16,69,69.69,68.52,03/25/25
68.34,69.11,69.33,67.97,03/24/25
68.36,68.28,68.68,67.65,03/21/25
0,68.07,68.4,66.64,03/20/25
66.57,67.16,67.6,66.2,03/19/25
67.5,66.9,68.73,66.52,03/18/25
67.29,67.58,68.38,67.25,03/17/25
66.82,67.18,67.48,66.57,03/14/25
67.69,66.55,67.94,66.43,03/13/25
66.61,67.68,67.88,66.16,3/12/2025
65.92,66.25,67.16,65.29,3/11/2025
67.1,66.03,67.61,65.79,3/10/2025
66.23,67.04,68.21,66.11,3/7/2025
66.39,66.36,67.09,65.59,3/6/2025
68.02,66.31,68.09,65.23,3/5/2025
68.47,68.26,68.56,66.77,3/4/2025
69.95,68.37,70.6,67.9,3/3/2025
70.14,69.76,70.29,69.15,02/28/25
68.83,70.35,70.47,68.61,02/27/25
69.11,68.62,69.29,68.36,02/26/25
70.93,68.93,71.25,68.68,02/25/25
69.85,70.7,70.93,69.33,02/24/25
72.62,70.4,72.76,70.18,02/21/25
0,72.48,73.14,0,02/20/25
71.7,72.25,73.03,71.64,02/19/25
70.61,71.85,72.07,70.12,02/18/25
71.53,70.74,72.03,70.51,02/14/25
71.28,71.29,71.6,70.21,02/13/25
73.22,71.37,73.3,71.17,2/12/2025
