Intensity,Name,Signal,Start Time,,End Time,,Duration
,,,hh mm,dd/mon/yyyy,hh mm,dd/mon/yyyy,hh mm
Tropical Depression,MUN,1,16:15,2-Jul-19,5:40,3-Jul-19,13 25
Tropical Storm,WIPHA,1,15:40,30-Jul-19,21:15,30-Jul-19,05 35
Tropical Storm,WIPHA,3,21:15,30-Jul-19,13:40,31-Jul-19,16 25
Tropical Storm,WIPHA,8 NE,13:40,31-Jul-19,23:40,31-Jul-19,10 00
Tropical Storm,WIPHA,3,23:40,31-Jul-19,19:20,1-Aug-19,19 40
Tropical Storm,WIPHA,1,19:20,1-Aug-19,8:40,2-Aug-19,13 20
Severe Tropical Storm,BAILU,1,14:40,24-Aug-19,19:20,25-Aug-19,28 40
Tropical Storm,PODUL,1,14:40,28-Aug-19,12:20,29-Aug-19,21 40
Tropical Depression,KAJIKI,1,8:40,1-Sep-19,16:20,1-Sep-19,07 40
Tropical Depression,KAJIKI,3,16:20,1-Sep-19,10:40,2-Sep-19,18 20
Tropical Depression,KAJIKI,1,10:40,2-Sep-19,9:20,3-Sep-19,22 40
Tropical Storm,NURI,1,20:20,12-Jun-20,15:40,13-Jun-20,19 20
Tropical Storm,NURI,3,15:40,13-Jun-20,10:40,14-Jun-20,19 00
Tropical Storm,NURI,1,10:40,14-Jun-20,13:20,14-Jun-20,02 40
Tropical Storm,SINLAKU,3,20:40,31-Jul-20,21:10,1-Aug-20,24 30
Tropical Storm,SINLAKU,1,21:10,1-Aug-20,23:15,1-Aug-20,02 05
Typhoon,HIGOS,1,3:40,18-Aug-20,14:20,18-Aug-20,10 40
Typhoon,HIGOS,3,14:20,18-Aug-20,22:40,18-Aug-20,08 20
Typhoon,HIGOS,8 NE,22:40,18-Aug-20,1:30,19-Aug-20,02 50
Typhoon,HIGOS,9,1:30,19-Aug-20,7:40,19-Aug-20,06 10
Typhoon,HIGOS,8 SE,7:40,19-Aug-20,11:10,19-Aug-20,03 30
Typhoon,HIGOS,3,11:10,19-Aug-20,13:20,19-Aug-20,02 10
Tropical Storm,NANGKA,1,20:40,11-Oct-20,17:10,12-Oct-20,20 30
Tropical Storm,NANGKA,3,17:10,12-Oct-20,5:40,13-Oct-20,12 30
Tropical Storm,NANGKA,8 NE,5:40,13-Oct-20,19:40,13-Oct-20,14 00
Tropical Storm,NANGKA,3,19:40,13-Oct-20,2:40,14-Oct-20,07 00
