filtered-0-temperature,filtered-0-rainfall,filtered-0-humidity,filtered-0-crime_overall,filtered-0-oil_price,filtered-0-exchange_taiwan,filtered-0-exchange_usa,unfiltered-month=1,unfiltered-month=2,unfiltered-month=6,unfiltered-month=8,unfiltered-month=9,unfiltered-day_of_week=Saturday,unfiltered-day_of_week=Monday,unfiltered-day_of_week=Tuesday,unfiltered-day_of_week=Wednesday,unfiltered-Holiday_China=Z,unfiltered-Holiday_China=C,unfiltered-Holiday_China=D,unfiltered-Holiday_China=E,unfiltered-Holiday_China=G,unfiltered-Holiday_China=B,unfiltered-Holiday_Taiwan=Z,unfiltered-Holiday_Taiwan=B,unfiltered-Holiday_Macau=C,unfiltered-Holiday_Macau=D,unfiltered-Holiday_Macau=H,unfiltered-Holiday_SouthKorea=R,unfiltered-max_signal=0,unfiltered-typhoon_present_binarized,unfiltered-typhoon_high_signal_binarized,y,predicted_y,difference,percentage_diff
0.083465,-0.018154,0.345091,0.430447,-0.840005,-0.651831,-1.365234,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,129597,116298.67123032289,13298.328769677115,10.2612936793885
0.083465,-0.262314,0.077787,0.430447,-0.697938,-0.805263,-1.385284,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,109004,108839.90176918701,164.09823081298964,0.15054331108307
0.286729,-0.262314,-0.100416,0.430447,-0.825416,-0.866636,-1.277015,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,104791,106381.33002466435,-1590.3300246643485,-1.5176208115814798
0.103791,0.320519,0.523294,0.430447,-0.858414,-0.866636,-1.116617,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,103276,105914.40241958854,-2638.402419588543,-2.5547101161824073
0.063138,-0.014216,1.057903,0.430447,-0.794502,-0.989381,-1.124637,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,90747,105827.22209044633,-15080.222090446332,-16.617873968777293
-0.05882,1.179017,1.592511,0.430447,-0.893844,-0.866636,-0.960229,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,120276,116652.86503563999,3623.1349643600115,3.012350730287016
0.205423,1.049061,1.057903,0.430447,-0.840005,-0.866636,-0.964239,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,172017,158698.86141099394,13318.138589006063,7.742338599676812
-0.038494,-0.022092,1.057903,0.430447,-0.840005,-0.881979,-0.91612,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,132024,120659.37084837795,11364.629151622052,8.608002447753478
-0.05882,-0.260384,-0.278619,0.430447,-0.897318,-0.851293,-1.044438,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,115350,115906.36374142369,-556.3637414236873,-0.48232660721602716
-0.892202,0.025165,0.612396,0.430447,-0.712526,-0.713204,-1.052458,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,93913,97597.59278680854,-3684.592786808542,-3.9234108023474303
-1.29873,2.643976,1.681613,0.430447,-0.711253,-0.881979,-1.080528,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,93045,102319.1415876507,-9274.141587650694,-9.967372333441554
-1.07514,-0.041782,0.790598,0.430447,-0.644445,-0.928008,-1.048448,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,100565,108495.85200462915,-7930.852004629152,-7.886294441037292
-0.871876,-0.260384,-0.189517,0.430447,-0.513841,-0.989381,-1.004339,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,125605,120071.51481620176,5533.485183798242,4.405465693084067
-0.831223,-0.260384,-0.456822,0.430447,-0.840005,-0.989381,-0.992309,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,170887,172551.11906405125,-1664.1190640512505,-0.9738125568657946
-0.627959,-0.222933,-0.189517,0.430447,-0.840005,-0.989381,-1.088548,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,131493,123981.82435526459,7511.175644735413,5.712224715182871
-0.445021,-0.260384,0.166888,0.430447,-0.572196,-0.74389,-1.096567,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,105971,107709.02029147172,-1738.0202914717229,-1.6400904884088314
