temperature,rainfall,humidity,crime_overall,oil_price,exchange_taiwan,exchange_usa,month=1,month=2,month=6,month=8,month=9,day_of_week=Saturday,day_of_week=Monday,day_of_week=Tuesday,day_of_week=Wednesday,Holiday_China=Z(No holiday),Holiday_China=C(Qingming Festival),Holiday_China=D(Labor Day),Holiday_China=E(Dragon Boat Festival),Holiday_China=G(National Day),Holiday_China=B(Spring Festival),Holiday_Taiwan=Z(No holiday),Holiday_Taiwan=B(Chinese New Year),Holiday_Macau=C(Cheng Ming Festival),Holiday_Macau=D(Labour Day),Holiday_Macau=H(National Day),Holiday_SouthKorea=R(National Foundation Day ),max_signal=0,typhoon_present_binarized,typhoon_high_signal_binarized,y
1.201416,-0.262314,-0.011314,-0.437699,-0.023032,0.759739,0.74801,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,147428
1.221743,-0.260384,0.077787,-0.437699,-0.023032,0.744396,0.74801,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,124230
1.262396,-0.262314,-0.100416,-0.437699,-0.112996,0.652337,0.79613,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,106622
1.262396,-0.262314,-0.011314,-0.437699,-0.036231,0.744396,0.659791,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,103548
1.262396,-0.262314,-0.189517,-0.437699,0.154813,1.035916,0.647761,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,109626
1.303048,-0.262314,-0.456822,-0.437699,0.29167,1.127975,0.499393,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,107937
1.384354,-0.262314,-0.456822,-0.437699,0.280207,1.235377,0.222707,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,115124
1.343701,-0.163862,-0.189517,-0.437699,-0.023032,1.235377,0.210677,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,154015
1.059132,-0.069349,-0.100416,-0.437699,-0.023032,1.220034,0.170577,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,118360
0.794889,0.879724,0.790598,-0.437699,0.075269,1.081946,0.186617,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,66945
